Year,EU,BE,FR,Unit
1945,,,,[kt]
1946,,0.0,0.0,[kt]
1947,0.0,0.13504444444444444,0.17375,[kt]
1948,0.6328125,0.2700888888888889,0.3475,[kt]
1949,1.265625,0.40513333333333335,0.52125,[kt]
1950,1.8984375,0.5401777777777778,0.695,[kt]
1951,2.53125,0.6752222222222222,0.8687499999999999,[kt]
1952,3.1640625,0.8102666666666667,1.0425,[kt]
1953,3.796875,0.9453111111111111,1.2162499999999998,[kt]
1954,4.4296875,1.0803555555555555,1.39,[kt]
1955,5.0625,1.2154,1.56375,[kt]
1956,20.475,2.052373333333333,6.672,[kt]
1957,35.8875,2.889346666666666,11.78025,[kt]
1958,51.3,3.7263199999999994,16.8885,[kt]
1959,66.7125,4.563293333333332,21.99675,[kt]
1960,82.125,5.400266666666665,27.104999999999997,[kt]
1961,97.5375,6.237239999999998,32.21325,[kt]
1962,112.95,7.074213333333331,37.3215,[kt]
1963,128.3625,7.911186666666664,42.42975,[kt]
1964,143.775,8.748159999999997,47.538,[kt]
1965,159.1875,9.585133333333332,52.646249999999995,[kt]
1966,174.6,10.422106666666664,57.7545,[kt]
1967,190.0125,11.259079999999997,62.86275,[kt]
1968,205.42499999999998,12.09605333333333,67.971,[kt]
1969,220.8375,12.933026666666663,73.07925,[kt]
1970,236.25,13.769999999999996,78.1875,[kt]
1971,279.0,14.555,76.6125,[kt]
1972,321.75,16.1625,77.39999999999999,[kt]
1973,364.5,22.5925,80.55,[kt]
1974,407.25,34.2625,87.75,[kt]
1975,450.0,39.81875000000001,93.71249999999999,[kt]
1976,543.75,48.792500000000004,101.3625,[kt]
1977,637.5,61.05749999999999,108.1575,[kt]
1978,731.25,56.46249999999999,108.675,[kt]
1979,825.0,49.46249999999999,105.04124999999999,[kt]
1980,918.75,52.625,101.4075,[kt]
1981,1012.5,58.525000000000006,97.77374999999999,[kt]
1982,1037.5714285714287,63.474999999999994,94.13999999999999,[kt]
1983,1062.642857142857,64.81803957692307,109.12499999999999,[kt]
1984,1087.7142857142858,66.16107915384615,99.65249999999999,[kt]
1985,1112.7857142857142,67.50411873076922,97.065,[kt]
1986,1137.857142857143,68.84715830769231,114.11999999999999,[kt]
1987,1162.9285714285716,70.19019788461539,135.42749999999998,[kt]
1988,1188.0,71.53323746153846,149.85,[kt]
1989,1213.0714285714287,72.87627703846154,152.1,[kt]
1990,1238.142857142857,74.21931661538461,158.89499999999998,[kt]
1991,1263.2142857142858,75.56235619230769,181.05749999999998,[kt]
1992,1288.2857142857142,76.90539576923078,178.7625,[kt]
1993,1313.357142857143,78.24843534615385,182.04749999999999,[kt]
1994,1338.4285714285716,79.59147492307693,202.45499999999998,[kt]
1995,1363.5,80.9345145,215.1675,[kt]
1996,1674.0,73.21408649999998,219.77999999999997,[kt]
1997,1766.25,75.90343800000001,236.15003249999998,[kt]
1998,1896.0044625,79.5253865,255.64938749999996,[kt]
1999,1861.7420475000001,79.82348999999998,299.067165,[kt]
2000,1942.4389275000003,84.81104450000001,329.32210499999997,[kt]
2001,2091.75102,85.87225099999998,350.2131975,[kt]
2002,2219.4454725,79.6603665,347.514795,[kt]
2003,2519.54361,85.273556,358.764525,[kt]
2004,2623.91239125,89.10689499999998,365.05698749999993,[kt]
2005,2728.2811725,100.98492249999998,360.47173499999997,[kt]
2006,3154.3991324999997,109.63807299999996,381.08857499999993,[kt]
2007,3277.25334,109.62624099999998,402.2085374999999,[kt]
2008,3021.9604875,100.8559825,392.29456500000003,[kt]
2009,2626.88265,95.491904,363.9537899999999,[kt]
2010,2667.40776,89.4698965,383.53706999999997,[kt]
2011,2658.222945,92.50111349999999,394.7499224999999,[kt]
2012,2498.7264075000003,97.70872399999999,374.0415750000001,[kt]
2013,2323.2626999999998,87.6406665,358.3729575,[kt]
2014,2452.0561425,82.72863299999999,338.7790125,[kt]
2015,2565.9016875,77.81659949999998,336.89733749999994,[kt]
2016,2521.362015,77.0189035,338.20312499999994,[kt]
2017,2706.9915375,84.884822,346.2191775,[kt]
2018,2583.8031149999997,80.16404049999998,365.5739024999999,[kt]
2019,2699.18271,97.86276,378.00148499999995,[kt]
2020,2699.18271,97.86276,378.00148499999995,[kt]
