Nbr of countries,year,Production [10^6 m²]
6,1945,
6,1946,
6,1947,
6,1948,
6,1949,
6,1950,
6,1951,
6,1952,
6,1953,
6,1954,
6,1955,0.225
6,1956,
6,1957,
6,1958,
6,1959,
6,1960,
6,1961,
6,1962,
6,1963,
6,1964,
6,1965,
6,1966,
6,1967,
6,1968,
6,1969,
6,1970,10.5
6,1971,
9,1972,
9,1973,
9,1974,
9,1975,20.0
9,1976,
9,1977,
9,1978,
9,1979,
10,1980,
10,1981,45.0
10,1982,
10,1983,
10,1984,
10,1985,
12,1986,
12,1987,
12,1988,
12,1989,
12,1990,
12,1991,
12,1992,
12,1993,
12,1994,
12,1995,
15,1995,60.6
15,1996,74.4
15,1997,78.5
15,1998,84.26686500000001
15,1999,82.744091
15,2000,86.33061900000001
15,2001,92.966712
15,2002,98.642021
15,2003,95.425484
27,2003,113.19266800000001
27,2004,
27,2005,121.76947
27,2006,142.026623
27,2007,148.0
27,2008,136.0
27,2009,118.0
27,2010,120.0
27,2011,120.0
28,2012,112.904869
28,2013,105.0
28,2014,110.466864
28,2015,116.0
28,2016,114.0
28,2017,121.6
28,2018,117.011436
28,2019,121.061246
